node: tikgpu04.ee.ethz.ch | gpu: NVIDIA TITAN RTX
OFDM initialized on cuda: 624 data syms, 104 pilot syms, 52 effective SC
  N_J=1 n=32 p=10        | BER 0.2922 cnn 0.996 en 0.928 suite 0.996 JSR +7.9 dB
  N_J=1 n=52 p=10        | BER 0.3940 cnn 1.000 en 0.984 suite 1.000 JSR +10.0 dB
  [checkpoint] N_J=1 done, 91 rows (46s)
  N_J=2 n= 1 p=0.01      | BER 0.1269 cnn 0.266 en 0.016 suite 0.281 JSR -37.5 dB
  N_J=2 n= 2 p=0.01      | BER 0.1286 cnn 0.252 en 0.016 suite 0.268 JSR -34.2 dB
  N_J=2 n= 4 p=0.01      | BER 0.1290 cnn 0.264 en 0.012 suite 0.275 JSR -31.2 dB
  N_J=2 n= 8 p=0.01      | BER 0.1320 cnn 0.242 en 0.020 suite 0.262 JSR -28.1 dB
  N_J=2 n=16 p=0.01      | BER 0.1286 cnn 0.230 en 0.014 suite 0.242 JSR -25.2 dB
  N_J=2 n=32 p=0.01      | BER 0.1339 cnn 0.275 en 0.006 suite 0.279 JSR -21.8 dB
  N_J=2 n=52 p=0.01      | BER 0.1309 cnn 0.285 en 0.020 suite 0.301 JSR -20.2 dB
  N_J=2 n= 1 p=0.017783  | BER 0.1284 cnn 0.252 en 0.014 suite 0.264 JSR -34.8 dB
  N_J=2 n= 2 p=0.017783  | BER 0.1258 cnn 0.258 en 0.021 suite 0.279 JSR -31.9 dB
  N_J=2 n= 4 p=0.017783  | BER 0.1301 cnn 0.273 en 0.008 suite 0.281 JSR -28.5 dB
  N_J=2 n= 8 p=0.017783  | BER 0.1279 cnn 0.258 en 0.012 suite 0.266 JSR -25.6 dB
  N_J=2 n=16 p=0.017783  | BER 0.1317 cnn 0.271 en 0.027 suite 0.299 JSR -22.6 dB
  N_J=2 n=32 p=0.017783  | BER 0.1257 cnn 0.264 en 0.012 suite 0.273 JSR -19.7 dB
  N_J=2 n=52 p=0.017783  | BER 0.1295 cnn 0.316 en 0.016 suite 0.332 JSR -17.4 dB
  N_J=2 n= 1 p=0.031623  | BER 0.1322 cnn 0.270 en 0.008 suite 0.275 JSR -32.2 dB
  N_J=2 n= 2 p=0.031623  | BER 0.1305 cnn 0.279 en 0.014 suite 0.293 JSR -28.9 dB
  N_J=2 n= 4 p=0.031623  | BER 0.1286 cnn 0.262 en 0.014 suite 0.275 JSR -26.2 dB
  N_J=2 n= 8 p=0.031623  | BER 0.1284 cnn 0.279 en 0.008 suite 0.285 JSR -23.1 dB
  N_J=2 n=16 p=0.031623  | BER 0.1316 cnn 0.248 en 0.021 suite 0.268 JSR -20.2 dB
  N_J=2 n=32 p=0.031623  | BER 0.1383 cnn 0.295 en 0.016 suite 0.309 JSR -16.9 dB
  N_J=2 n=52 p=0.031623  | BER 0.1283 cnn 0.273 en 0.016 suite 0.289 JSR -15.5 dB
  N_J=2 n= 1 p=0.056234  | BER 0.1292 cnn 0.256 en 0.014 suite 0.270 JSR -29.7 dB
  N_J=2 n= 2 p=0.056234  | BER 0.1240 cnn 0.260 en 0.020 suite 0.277 JSR -26.8 dB
  N_J=2 n= 4 p=0.056234  | BER 0.1276 cnn 0.244 en 0.016 suite 0.260 JSR -23.6 dB
  N_J=2 n= 8 p=0.056234  | BER 0.1243 cnn 0.248 en 0.014 suite 0.262 JSR -21.0 dB
  N_J=2 n=16 p=0.056234  | BER 0.1280 cnn 0.281 en 0.010 suite 0.289 JSR -17.7 dB
  N_J=2 n=32 p=0.056234  | BER 0.1373 cnn 0.320 en 0.012 suite 0.332 JSR -14.6 dB
  N_J=2 n=52 p=0.056234  | BER 0.1439 cnn 0.320 en 0.018 suite 0.336 JSR -12.3 dB
  N_J=2 n= 1 p=0.1       | BER 0.1279 cnn 0.260 en 0.020 suite 0.279 JSR -27.3 dB
  N_J=2 n= 2 p=0.1       | BER 0.1292 cnn 0.248 en 0.010 suite 0.258 JSR -24.0 dB
  N_J=2 n= 4 p=0.1       | BER 0.1297 cnn 0.283 en 0.010 suite 0.293 JSR -21.1 dB
  N_J=2 n= 8 p=0.1       | BER 0.1314 cnn 0.264 en 0.008 suite 0.271 JSR -18.1 dB
  N_J=2 n=16 p=0.1       | BER 0.1342 cnn 0.291 en 0.016 suite 0.307 JSR -15.2 dB
  N_J=2 n=32 p=0.1       | BER 0.1483 cnn 0.357 en 0.014 suite 0.369 JSR -11.8 dB
  N_J=2 n=52 p=0.1       | BER 0.1515 cnn 0.418 en 0.016 suite 0.434 JSR -9.8 dB
  N_J=2 n= 1 p=0.177828  | BER 0.1250 cnn 0.258 en 0.014 suite 0.270 JSR -24.9 dB
  N_J=2 n= 2 p=0.177828  | BER 0.1288 cnn 0.260 en 0.014 suite 0.271 JSR -21.6 dB
  N_J=2 n= 4 p=0.177828  | BER 0.1341 cnn 0.283 en 0.014 suite 0.297 JSR -18.6 dB
  N_J=2 n= 8 p=0.177828  | BER 0.1298 cnn 0.291 en 0.018 suite 0.305 JSR -15.9 dB
  N_J=2 n=16 p=0.177828  | BER 0.1425 cnn 0.348 en 0.002 suite 0.350 JSR -12.5 dB
  N_J=2 n=32 p=0.177828  | BER 0.1494 cnn 0.389 en 0.025 suite 0.414 JSR -9.7 dB
  N_J=2 n=52 p=0.177828  | BER 0.1552 cnn 0.498 en 0.010 suite 0.506 JSR -7.6 dB
  N_J=2 n= 1 p=0.316228  | BER 0.1308 cnn 0.250 en 0.016 suite 0.266 JSR -22.2 dB
  N_J=2 n= 2 p=0.316228  | BER 0.1267 cnn 0.264 en 0.021 suite 0.283 JSR -19.2 dB
  N_J=2 n= 4 p=0.316228  | BER 0.1386 cnn 0.305 en 0.023 suite 0.326 JSR -16.0 dB
  N_J=2 n= 8 p=0.316228  | BER 0.1385 cnn 0.324 en 0.021 suite 0.346 JSR -13.1 dB
  N_J=2 n=16 p=0.316228  | BER 0.1468 cnn 0.391 en 0.016 suite 0.404 JSR -10.3 dB
  N_J=2 n=32 p=0.316228  | BER 0.1684 cnn 0.477 en 0.021 suite 0.490 JSR -7.0 dB
  N_J=2 n=52 p=0.316228  | BER 0.1824 cnn 0.617 en 0.023 suite 0.637 JSR -4.9 dB
  N_J=2 n= 1 p=0.562341  | BER 0.1316 cnn 0.320 en 0.006 suite 0.324 JSR -19.8 dB
  N_J=2 n= 2 p=0.562341  | BER 0.1264 cnn 0.268 en 0.016 suite 0.283 JSR -16.8 dB
  N_J=2 n= 4 p=0.562341  | BER 0.1365 cnn 0.330 en 0.016 suite 0.344 JSR -13.8 dB
